"size","gender","age","edu","wealthC"
1,"2",19,2,4
6,"2",44,0,4
6,"1",36,0,4
6,"1",12,1,4
6,"1",7,1,4
6,"1",11,1,4
6,"2",5,0,4
6,"1",64,2,5
6,"2",40,2,5
6,"2",25,3,5
6,"1",22,2,5
6,"2",13,2,5
6,"1",8,0,5
3,"1",30,3,5
3,"2",24,2,5
3,"2",0,0,5
6,"2",40,2,4
6,"2",12,1,4
6,"2",8,1,4
6,"2",6,0,4
6,"1",2,0,4
6,"2",16,2,4
3,"1",39,2,4
3,"2",11,1,4
3,"2",38,0,4
9,"2",62,0,4
9,"1",60,2,4
9,"1",21,2,4
9,"1",20,2,4
9,"1",17,2,4
9,"2",13,1,4
9,"2",9,0,4
9,"2",2,0,4
9,"2",20,1,4
5,"1",60,1,3
5,"2",34,0,3
5,"2",4,0,3
5,"1",9,0,3
5,"1",6,0,3
8,"1",57,2,4
8,"2",45,2,4
8,"1",27,2,4
8,"2",20,2,4
8,"2",11,1,4
8,"1",6,1,4
8,"2",23,2,4
8,"2",0,0,4
6,"2",47,2,5
6,"1",51,2,5
6,"1",27,2,5
6,"1",20,2,5
6,"2",20,2,5
6,"2",22,3,5
4,"1",27,2,3
4,"2",20,1,3
4,"2",2,0,3
4,"2",7,0,3
1,"1",53,0,4
10,"1",42,2,5
10,"2",40,2,5
10,"1",8,1,5
10,"2",2,0,5
10,"1",16,2,5
10,"1",13,1,5
10,"1",9,0,5
10,"1",24,2,5
10,"1",17,2,5
10,"1",16,2,5
3,"1",28,3,4
3,"1",25,2,4
3,"1",26,2,4
6,"1",34,3,4
6,"2",33,2,4
6,"2",14,2,4
6,"1",3,0,4
6,"1",12,1,4
6,"1",9,0,4
4,"1",26,0,4
4,"2",22,0,4
4,"2",6,0,4
4,"1",0,0,4
4,"2",52,3,5
4,"2",11,1,5
4,"1",11,1,5
4,"1",13,2,5
2,"1",22,2,5
2,"1",21,2,5
5,"2",48,0,4
5,"1",11,1,4
5,"2",10,1,4
5,"2",9,1,4
5,"1",6,0,4
5,"1",42,2,4
5,"2",42,2,4
5,"2",8,1,4
5,"2",4,0,4
5,"1",17,0,4
4,"2",34,2,4
4,"2",13,1,4
4,"2",10,0,4
4,"1",7,0,4
6,"2",44,2,5
6,"2",13,0,5
6,"2",6,0,5
6,"2",17,2,5
6,"1",7,0,5
6,"1",2,0,5
3,"2",24,2,4
3,"1",27,2,4
3,"1",4,0,4
5,"2",34,1,5
5,"2",7,0,5
5,"1",13,1,5
5,"2",10,0,5
5,"1",4,0,5
5,"2",48,1,4
5,"2",29,2,4
5,"1",10,1,4
5,"1",8,0,4
5,"2",4,0,4
6,"2",39,2,4
6,"2",20,2,4
6,"2",5,0,4
6,"1",11,1,4
6,"1",72,2,4
6,"2",6,0,4
6,"1",32,3,5
6,"2",28,3,5
6,"2",14,2,5
6,"2",15,2,5
6,"2",25,3,5
6,"1",5,1,5
4,"2",45,2,4
4,"1",19,2,4
4,"2",14,2,4
4,"1",7,0,4
3,"2",52,0,3
3,"2",14,1,3
3,"2",8,0,3
3,"2",19,2,5
3,"1",12,1,5
3,"2",10,1,5
1,"1",29,3,5
5,"1",29,3,5
5,"1",22,2,5
5,"1",12,1,5
5,"1",9,0,5
5,"1",14,2,5
3,"1",35,2,4
3,"2",24,2,4
3,"1",2,0,4
2,"1",39,1,5
2,"2",28,0,5
7,"2",40,1,4
7,"1",52,2,4
7,"2",18,1,4
7,"2",13,1,4
7,"2",1,0,4
7,"2",20,2,4
7,"2",25,0,4
1,"1",28,0,5
8,"2",16,2,5
8,"2",51,2,5
8,"2",12,1,5
8,"2",26,2,5
8,"1",20,2,5
8,"1",17,2,5
8,"1",12,1,5
8,"1",7,1,5
3,"1",19,2,4
3,"2",18,1,4
3,"1",3,0,4
