"","location","size","wealth","gender","age","education"
"1",6,11,1,1,54,2
"2",6,3,4,1,37,3
"3",6,10,4,2,50,0
"4",6,1,3,1,32,2
"5",6,7,3,1,36,0
"6",6,4,5,1,36,0
"7",6,2,5,2,35,2
"8",6,10,3,1,38,2
"9",6,14,3,1,50,2
"10",6,2,3,1,74,3
"11",6,6,3,2,35,0
"12",6,18,5,1,70,2
"13",6,5,5,1,32,2
"14",6,6,4,2,35,1
"15",6,2,4,2,27,0
"16",6,5,3,1,40,2
"17",6,2,4,2,26,2
"18",6,7,3,2,59,0
"19",6,2,1,2,20,1
"20",6,5,5,2,34,2
"21",6,7,5,1,37,2
"22",6,5,3,1,32,2
"23",6,6,4,1,39,2
"24",6,6,2,1,44,2
"25",6,1,3,1,28,2
"26",6,6,5,1,30,2
"27",6,3,1,1,64,2
"28",6,4,3,2,40,2
"29",5,5,2,2,33,0
"30",5,4,1,1,80,2
"31",5,6,2,1,44,1
"32",5,6,1,2,45,0
"33",5,4,1,1,33,2
"34",5,6,2,1,54,1
"35",5,5,1,2,39,0
"36",5,2,3,1,50,2
"37",5,4,2,1,31,1
"38",5,2,1,2,48,0
"39",5,8,1,1,70,0
"40",5,4,2,1,36,1
"41",5,5,1,2,51,0
"42",5,4,1,2,44,0
"43",5,12,3,1,35,1
"44",5,8,2,1,41,2
"45",5,5,1,2,27,1
"46",5,9,1,2,43,0
"47",5,3,1,1,45,2
"48",5,4,1,2,54,0
"49",5,8,2,1,53,1
"50",5,4,1,1,30,0
"51",5,4,1,2,21,0
"52",5,5,1,1,40,2
"53",5,4,1,1,49,1
"54",5,4,1,1,33,1
"55",5,7,1,2,49,0
"56",5,4,2,1,27,2
"57",5,7,1,1,57,0
"58",5,4,1,1,40,2
"59",1,1,2,1,21,2
"60",1,13,2,1,56,0
"61",1,3,1,1,26,2
"62",1,8,1,1,39,0
"63",1,2,1,1,72,0
"64",1,5,1,1,56,2
"65",1,12,3,2,18,2
"66",1,2,3,1,26,2
"67",1,6,1,2,73,0
"68",1,3,3,1,26,2
"69",1,2,1,2,23,2
"70",1,5,2,2,70,0
"71",1,10,2,1,55,2
"72",1,5,2,2,23,2
"73",1,15,2,2,34,1
"74",1,3,1,1,60,0
"75",1,8,2,2,53,2
"76",1,9,3,1,44,2
"77",1,8,1,1,32,2
"78",1,4,2,1,30,2
"79",1,2,1,1,40,1
"80",1,9,2,1,39,1
"81",1,9,1,1,48,0
"82",1,6,1,1,51,2
"83",1,4,1,2,72,0
"84",1,8,3,2,41,0
"85",1,9,3,1,39,2
"86",1,12,1,2,27,2
"87",1,6,1,2,34,2
"88",1,13,1,1,99,0
"89",6,3,1,1,28,2
"90",6,2,1,1,42,2
"91",6,5,1,1,49,2
"92",6,8,3,1,35,2
"93",6,5,1,1,35,2
"94",6,2,1,2,57,1
"95",6,7,3,1,66,1
"96",6,5,1,1,39,2
"97",6,5,3,2,73,0
"98",6,3,1,2,72,0
"99",6,1,1,1,56,2
"100",6,2,2,2,51,0
"101",6,8,2,1,65,2
"102",6,3,1,1,62,0
"103",6,4,1,1,42,1
"104",6,2,1,1,20,1
"105",6,5,1,1,60,0
"106",6,3,1,1,36,0
"107",6,4,1,2,31,2
"108",6,7,3,1,55,2
"109",6,5,2,1,37,1
"110",6,3,1,2,37,0
"111",6,2,1,2,75,0
"112",6,1,1,2,71,0
"113",6,2,1,2,22,1
"114",6,5,2,1,54,0
"115",6,7,4,1,71,2
"116",6,4,2,2,44,0
"117",6,3,2,1,31,0
"118",6,14,2,1,44,1
"119",6,8,3,1,42,1
"120",6,6,3,1,32,2
"121",6,7,3,1,60,0
"122",6,3,2,2,52,1
"123",6,6,1,2,20,1
"124",6,3,2,2,45,1
"125",6,6,2,2,63,0
"126",6,7,2,2,71,0
"127",6,7,3,1,64,0
"128",6,5,2,1,47,2
"129",6,8,1,1,70,1
"130",6,1,2,1,35,1
"131",6,9,2,1,41,1
"132",6,5,1,1,27,2
"133",6,2,1,1,25,2
"134",6,4,1,2,68,0
"135",6,10,1,1,50,2
"136",6,3,2,1,64,1
"137",6,5,1,1,32,1
"138",6,9,1,2,42,0
"139",6,9,2,1,32,1
"140",6,4,1,1,26,2
"141",6,4,1,1,26,2
"142",6,3,3,2,37,0
"143",6,6,2,1,69,1
"144",12,8,3,1,38,1
"145",12,12,3,2,62,0
"146",12,13,3,1,67,0
